sentences_original,sen_values,label,lemmatized_tokens
the rock is destined to be the 21st century s new conan and that he s going to make a splash even greater than arnold schwarzenegger jean claud van damme or steven segal ,0.69444,pos,"['the', 'rock', 'is', 'destined', 'to', 'be', 'the', '21st', 'century', 's', 'new', 'conan', 'and', 'that', 'he', 's', 'going', 'to', 'make', 'a', 'splash', 'even', 'greater', 'than', 'arnold', 'schwarzenegger', 'jean', 'claud', 'van', 'damme', 'or', 'steven', 'segal']"
the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that a column of words can not adequately describe co writer director peter jackson s expanded vision of j r r tolkien s middle earth ,0.8333299999999999,pos,"['the', 'gorgeously', 'elaborate', 'continuation', 'of', 'the', 'lord', 'of', 'the', 'ring', 'trilogy', 'is', 'so', 'huge', 'that', 'a', 'column', 'of', 'word', 'can', 'not', 'adequately', 'describe', 'co', 'writer', 'director', 'peter', 'jackson', 's', 'expanded', 'vision', 'of', 'j', 'r', 'r', 'tolkien', 's', 'middle', 'earth']"
singer composer bryan adams contributes a slew of songs a few potential hits a few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece ,0.625,pos,"['singer', 'composer', 'bryan', 'adam', 'contributes', 'a', 'slew', 'of', 'song', 'a', 'few', 'potential', 'hit', 'a', 'few', 'more', 'simply', 'intrusive', 'to', 'the', 'story', 'but', 'the', 'whole', 'package', 'certainly', 'capture', 'the', 'intended', 'er', 'spirit', 'of', 'the', 'piece']"
you d think by now america would have had enough of plucky british eccentrics with hearts of gold ,0.5,neutral,"['you', 'd', 'think', 'by', 'now', 'america', 'would', 'have', 'had', 'enough', 'of', 'plucky', 'british', 'eccentric', 'with', 'heart', 'of', 'gold']"
yet the act is still charming here ,0.72222,pos,"['yet', 'the', 'act', 'is', 'still', 'charming', 'here']"
whether or not you re enlightened by any of derrida s lectures on the other and the self derrida is an undeniably fascinating and playful fellow ,0.8333299999999999,pos,"['whether', 'or', 'not', 'you', 're', 'enlightened', 'by', 'any', 'of', 'derrida', 's', 'lecture', 'on', 'the', 'other', 'and', 'the', 'self', 'derrida', 'is', 'an', 'undeniably', 'fascinating', 'and', 'playful', 'fellow']"
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing ,0.875,pos,"['just', 'the', 'labour', 'involved', 'in', 'creating', 'the', 'layered', 'richness', 'of', 'the', 'imagery', 'in', 'this', 'chiaroscuro', 'of', 'madness', 'and', 'light', 'is', 'astonishing']"
part of the charm of satin rouge is that it avoids the obvious with humour and lightness ,0.72222,pos,"['part', 'of', 'the', 'charm', 'of', 'satin', 'rouge', 'is', 'that', 'it', 'avoids', 'the', 'obvious', 'with', 'humour', 'and', 'lightness']"
a screenplay more ingeniously constructed than memento ,0.8333299999999999,pos,"['a', 'screenplay', 'more', 'ingeniously', 'constructed', 'than', 'memento']"
 extreme ops exceeds expectations ,0.73611,pos,"['extreme', 'ops', 'exceeds', 'expectation']"
good fun good action good acting good dialogue good pace good cinematography ,0.9027799999999999,pos,"['good', 'fun', 'good', 'action', 'good', 'acting', 'good', 'dialogue', 'good', 'pace', 'good', 'cinematography']"
you should pay nine bucks for this because you can hear about suffering afghan refugees on the news and still be unaffected ,0.44443999999999995,neutral,"['you', 'should', 'pay', 'nine', 'buck', 'for', 'this', 'because', 'you', 'can', 'hear', 'about', 'suffering', 'afghan', 'refugee', 'on', 'the', 'news', 'and', 'still', 'be', 'unaffected']"
dramas like this make it human ,0.80556,pos,"['drama', 'like', 'this', 'make', 'it', 'human']"
a thunderous ride at first quiet cadences of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action ,0.44443999999999995,neutral,"['a', 'thunderous', 'ride', 'at', 'first', 'quiet', 'cadence', 'of', 'pure', 'finesse', 'are', 'few', 'and', 'far', 'between', 'their', 'shortage', 'dilutes', 'the', 'potency', 'of', 'otherwise', 'respectable', 'action']"
still this flick is fun and host to some truly excellent sequences ,0.81944,pos,"['still', 'this', 'flick', 'is', 'fun', 'and', 'host', 'to', 'some', 'truly', 'excellent', 'sequence']"
australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation ,0.75,pos,"['australian', 'actor', 'director', 'john', 'polson', 'and', 'award', 'winning', 'english', 'cinematographer', 'giles', 'nuttgens', 'make', 'a', 'terrific', 'effort', 'at', 'disguising', 'the', 'obvious', 'with', 'energy', 'and', 'innovation']"
you walk out of the good girl with mixed emotions disapproval of justine combined with a tinge of understanding for her actions ,0.61111,pos,"['you', 'walk', 'out', 'of', 'the', 'good', 'girl', 'with', 'mixed', 'emotion', 'disapproval', 'of', 'justine', 'combined', 'with', 'a', 'tinge', 'of', 'understanding', 'for', 'her', 'action']"
post 9 11 the philosophical message of personal freedom first might not be as palatable as intended ,0.44443999999999995,neutral,"['post', '9', '11', 'the', 'philosophical', 'message', 'of', 'personal', 'freedom', 'first', 'might', 'not', 'be', 'a', 'palatable', 'a', 'intended']"
if you love reading and or poetry then by all means check it out ,0.77778,pos,"['if', 'you', 'love', 'reading', 'and', 'or', 'poetry', 'then', 'by', 'all', 'mean', 'check', 'it', 'out']"
you ll probably love it ,0.81944,pos,"['you', 'll', 'probably', 'love', 'it']"
 frailty has been written so well that even a simple goddammit ,0.63889,pos,"['frailty', 'ha', 'been', 'written', 'so', 'well', 'that', 'even', 'a', 'simple', 'goddammit']"
near the end takes on a whole other meaning ,0.55556,neutral,"['near', 'the', 'end', 'take', 'on', 'a', 'whole', 'other', 'meaning']"
